Siap si paling nyanggeyeng,siap si paling nyanggeyeng,negatif,Kawah Putih
"22 desember 2022 saya baru dr situ. Tiket terusan ada 2macam, ada yg 50rb dan 100rb.yg 50 cm smpe resto pinisi. Yg 100 bisa sampe jembatan gantung terpanjang",desember saya baru dr situ tiket terusan ada macam ada yg rb dan rbyg cm smpe resto pinisi yg bisa sampe jembatan gantung terpanjang,netral,Gunung Puntang
pernh kesini sekali,pernh kesini sekali,positif,Ranca Upas
Tahun 2003 ke situ patenggang..thun baru ini mau kawah rengganis sama jempbatan gantung terpanjang di se asia di daerah itu jga,tahun ke situ patenggangthun baru ini mau kawah rengganis sama jempbatan gantung terpanjang di se asia di daerah itu jga,netral,Situ Patenggang
Kang itu golesat nya teh harus bayar lagi kalo udh beli tiket terusan?,kang itu golesat nya teh harus bayar lagi kalo udh beli tiket terusan,netral,Gunung Puntang
Kalau booking glamping di nomor hp yg ada di deskripsi?,kalau booking glamping di nomor hp yg ada di deskripsi,netral,Situ Patenggang
Keren pisan kang lucu Oge meesan👍😁,keren pisan kang lucu oge meesan,positif,Gunung Puntang
dari area danau ke area Phinisi nu harus numpak kendaraan dikasih tumpangan atau kumaha a? Trs balik lagi pas rek uih ke pintu masuk lama Situ Patenggang na kumaha?,dari area danau ke area phinisi nu harus numpak kendaraan dikasih tumpangan atau kumaha a trs balik lagi pas rek uih ke pintu masuk lama situ patenggang na kumaha,netral,Situ Patenggang
Mang kalo paket regular bisa ke area saung yang pertama?,mang kalo paket regular bisa ke area saung yang pertama,netral,Gunung Puntang
"Basana pisebelen,  hayang nyekek logor mun pangih",basana pisebelen hayang nyekek logor mun pangih,netral,Kawah Putih
"baru kesini kemaren, sekarang tinggal lelahnya aja. salam dari indramayu",baru kesini kemaren sekarang tinggal lelahnya aja salam dari indramayu,netral,Gunung Puntang
Untuk rombongan bus besar bisa masuk gak kang,untuk rombongan bus besar bisa masuk gak kang,netral,Ranca Upas
Ciko... Itu bebek 40 rb per jam 1 bebek apa di itung per kepala 40 ribu.. ?,ciko itu bebek rb per jam bebek apa di itung per kepala ribu,netral,Ranca Upas
"A klo dri situ patenggang bisa tembus ke yg prahu itu ? Lwat jmbatan yg tdi byar 5k itu, oh iya klo mkan di prasmanan di cafe itu skitar brapa ya a..",a klo dri situ patenggang bisa tembus ke yg prahu itu lwat jmbatan yg tdi byar k itu oh iya klo mkan di prasmanan di cafe itu skitar brapa ya a,netral,Situ Patenggang
"Enya kuduna gratis jembatan di atas danau mah. apalagi jembatan ke resto mun kudu mayar moal aya nu daek dahar di dinya haha....
Si akang meni cute ngomongnya...",enya kuduna gratis jembatan di atas danau mah apalagi jembatan ke resto mun kudu mayar moal aya nu daek dahar di dinya haha si akang meni cute ngomongnya,netral,Kawah Putih
Assalamu'alaikum bang barabaaayyy... Baru nongol deui yeuh... Apa kabarnya atuuh ya 🤭🤭😀😀😀,assalamualaikum bang barabaaayyy baru nongol deui yeuh apa kabarnya atuuh ya,netral,Glamping Lakeside
Mantap rview nya ga bkin ngantuk..... 👍🤣😍,mantap rview nya ga bkin ngantuk,positif,Ranca Upas
"Make peduli lindungi bro eta? Duh can boga euy🙈pdhl isukan minggu dek kadinya,meunang moal nyak?",make peduli lindungi bro eta duh can boga euypdhl isukan minggu dek kadinyameunang moal nyak,positif,Kawah Putih
Sumpehh paling menghibur iyeu chanel kocak dan lengkapp.cukup menghibur,sumpehh paling menghibur iyeu chanel kocak dan lengkappcukup menghibur,netral,Situ Patenggang
Pemandangannya sungguh indah.,pemandangannya sungguh indah,positif,Kawah Putih
"waduh eta kapal pinisi jd belel kitu, cat deui ku mamang atuh",waduh eta kapal pinisi jd belel kitu cat deui ku mamang atuh,netral,Glamping Lakeside
"Baru kesini tgl 30 April kemarin 😊😊 Cuma karena dateng pas hujan deras, jadi ga gitu bisa leluasa muter2nya deh. Cuma pas masuk diharuskan beli yg terusan, padahal lagi hujan, ga mungkin juga bisa masuk ke semua wahana.",baru kesini tgl april kemarin cuma karena dateng pas hujan deras jadi ga gitu bisa leluasa muternya deh cuma pas masuk diharuskan beli yg terusan padahal lagi hujan ga mungkin juga bisa masuk ke semua wahana,netral,Gunung Puntang
mantap pisan euy tempat wisata nya babarabay team😁,mantap pisan euy tempat wisata nya babarabay team,positif,Situ Patenggang
"Hallow my akang bos...👍😍
Lokasi yg keren apalagi resto perahunya...romantis banget kalo makan bareng si dia..ha ha ha🤣
Btw..Selamat Hari Raya idul fitri buat semua Tim ya kang🙏🙏",hallow my akang bos lokasi yg keren apalagi resto perahunyaromantis banget kalo makan bareng si diaha ha ha btwselamat hari raya idul fitri buat semua tim ya kang,positif,Ranca Upas
"Mantap 👍
Semoga App ARIVA world bisa digunakan di tahun ini 🚀🚀",mantap semoga app ariva world bisa digunakan di tahun ini,positif,Glamping Lakeside
Kang kalo dari Subang Pamanukan ke sini brp jam ya klo pake motor 🙏,kang kalo dari subang pamanukan ke sini brp jam ya klo pake motor,netral,Kawah Putih
pokonya keren deh.pemandangan nya indah sekali🙏😀,pokonya keren dehpemandangan nya indah sekali,positif,Situ Patenggang
Kereeeen banget atuh cocok buat healing bestie,kereeeen banget atuh cocok buat healing bestie,positif,Gunung Puntang
Nah kalau ini sy belum pernah kang 😭😂 beda arah sama Ciwidey ya,nah kalau ini sy belum pernah kang beda arah sama ciwidey ya,netral,Gunung Puntang
"Haralow, ABC teu mudik kitu mantap pemandangan nya 👍",haralow abc teu mudik kitu mantap pemandangan nya,positif,Ranca Upas
"blom lama mau ke sini, tp cuma smp KEBUN TEH RANCABALI nya sajah...ga jd ke Pinisi nya...
ga banyak perubahan nya sih setelah lihat video nya...
itu go Car luncur udah lamaaaaa banget ada!
jembatan gantung apalgi...
teras Bintang udah GA ADA...
tapi tetep suka ke sana sih, view nya juara...",blom lama mau ke sini tp cuma smp kebun teh rancabali nya sajahga jd ke pinisi nya ga banyak perubahan nya sih setelah lihat video nya itu go car luncur udah lamaaaaa banget ada jembatan gantung apalgi teras bintang udah ga ada tapi tetep suka ke sana sih view nya juara,positif,Gunung Puntang
Request kang review OCEAN VIEW KARANG POTONG 😁,request kang review ocean view karang potong,netral,Situ Patenggang
"Haralow deui kang,tos lila
Kawasan objek wisata situ patenggang sangat indah pesona alam nya.,kawasan objek wisata situ patenggang sangat indah pesona alam nya,positif
Chanel destinasi alan2 pertama yg gw subscrib sejak kapan lupa", tiap w nonton happy banget sambil senyum2 sendiri, ga nyadar lama2 gigi sampe kering saking senyum mulu😁,Ranca Upas
Sok diteruz kan akang review tempat lain.,,,Ranca Upas
Btw klo glamping ga dikasi gratis nginep, kan bisa cuma numpang lihat videoin isinya buat di review, 🤭,Ranca Upas
"* eh tp ke enakan dia ya di promoin gratisan..wkwkwk""",chanel destinasi alan pertama yg gw subscrib sejak kapan lupa tiap w nonton happy banget sambil senyum sendiri ga nyadar lama gigi sampe kering saking senyum mulu sok diteruz kan akang review tempat lain btw klo glamping ga dikasi gratis nginep kan bisa cuma numpang lihat videoin isinya buat di review eh tp ke enakan dia ya di promoin gratisanwkwkwk,positif,Kawah Putih
Wow  keren banget pasti wajib kesini rencana habis lebaran aku dan keluarga mau kesini pasti keren sukses selalu bang,wow keren banget pasti wajib kesini rencana habis lebaran aku dan keluarga mau kesini pasti keren sukses selalu bang,positif,Gunung Puntang
haaraloww teuu mudik kang barabay 😂😂😂,haaraloww teuu mudik kang barabay,netral,Situ Patenggang
Haraloww mudik mudik😀,haraloww mudik mudik,netral,Situ Patenggang
Masuk ke tempat rusa bayar lagi ga ka?,masuk ke tempat rusa bayar lagi ga ka,netral,Glamping Lakeside
Boleh bawa makan dari rumah gak ka,boleh bawa makan dari rumah gak ka,netral,Kawah Putih
komentar,komentar_bersih,label_sentimen,destinasi
"bau belerang-nya level dewa, anjay mata perih",bau belerangnya level dewa anjay mata perih,negatif,Kawah Putih
"pas sampe sana, kabut total, pemandangan mana?",pas sampe sana kabut total pemandangan mana,negatif,Kawah Putih
"rame bgt, padahal weekday, jir kesel",rame bgt padahal weekday jir kesel,negatif,Kawah Putih
"selfie ga ada yang bener, background-nya asap doang",selfie ga ada yang bener backgroundnya asap doang,negatif,Kawah Putih
anjir danau-nya keruh kaya air comberan,anjir danaunya keruh kaya air comberan,negatif,Situ Patenggang
spot view udah ketutup semua sama warung dadakan,spot view udah ketutup semua sama warung dadakan,negatif,Situ Patenggang
"diserbu bocil teriak-teriak, mana bisa healing",diserbu bocil teriakteriak mana bisa healing,negatif,Situ Patenggang
udah bayar mahal tapi parkirannya horror jir,udah bayar mahal tapi parkirannya horror jir,negatif,Ranca Upas
"anjay hujan deres, ga ada tempat berteduh",anjay hujan deres ga ada tempat berteduh,negatif,Ranca Upas
"gwe kira romantis, eh malah nyesel sumpah",gwe kira romantis eh malah nyesel sumpah,negatif,Ranca Upas
"tempatnya terlalu terbuka, panasnya nusuk",tempatnya terlalu terbuka panasnya nusuk,negatif,Kawah Putih
"nafas sesek asli, mana belerang tebel banget",nafas sesek asli mana belerang tebel banget,negatif,Kawah Putih
"harga tiket nambah, fasilitas tetep segitu-gitu aja",harga tiket nambah fasilitas tetep segitugitu aja,negatif,Kawah Putih
"parkiran penuh dan susah keluarnya, kesel abis",parkiran penuh dan susah keluarnya kesel abis,negatif,Situ Patenggang
beli jajanan mahal tapi rasanya zonk,beli jajanan mahal tapi rasanya zonk,negatif,Situ Patenggang
"toiletnya bau banget, anjay sampe mau muntah",toiletnya bau banget anjay sampe mau muntah,negatif,Situ Patenggang
"anjir panas banget, pohon rindang juga pelit",anjir panas banget pohon rindang juga pelit,negatif,Situ Patenggang
"ada pengunjung nyetel musik keras banget, ngeselin",ada pengunjung nyetel musik keras banget ngeselin,negatif,Situ Patenggang
"anjay kepleset di jalur danau, licin parah",anjay kepleset di jalur danau licin parah,negatif,Situ Patenggang
"kalo bukan karena penasaran, mending ga usah dateng",kalo bukan karena penasaran mending ga usah dateng,negatif,Situ Patenggang
"tenda bocor, padahal katanya premium glamping anjir",tenda bocor padahal katanya premium glamping anjir,negatif,Glamping Lakeside
"kasur kerasnya kayak lantai, anjay pinggang pegel",kasur kerasnya kayak lantai anjay pinggang pegel,negatif,Glamping Lakeside
suara berisik dari tenda sebelah bikin susah tidur,suara berisik dari tenda sebelah bikin susah tidur,negatif,Glamping Lakeside
"sinyal ilang total, gue ngerasa kayak di gua",sinyal ilang total gue ngerasa kayak di gua,negatif,Glamping Lakeside
banyak pungli di parkirannya,banyak pungli di parkirannya,negatif,Glamping Lakeside
"tenda sumpek dan berdebu, bukan vibes glamping anjay",tenda sumpek dan berdebu bukan vibes glamping anjay,negatif,Glamping Lakeside
"fasilitas ala kadarnya, harga premium, wtf",fasilitas ala kadarnya harga premium wtf,negatif,Glamping Lakeside
anjir suara jangkrik malem-malem bikin parno,anjir suara jangkrik malemmalem bikin parno,negatif,Glamping Lakeside
"nyri spot foto cakep susah banget, ketutup orang mulu",nyri spot foto cakep susah banget ketutup orang mulu,negatif,Ranca Upas
mau chill malah kebagian bau kandang anjay,mau chill malah kebagian bau kandang anjay,negatif,Ranca Upas
bikin konten disini tuh kayak misi impossible,bikin konten disini tuh kayak misi impossible,negatif,Ranca Upas
"anjir kabutnya tebel banget, sampe salah jalan",anjir kabutnya tebel banget sampe salah jalan,negatif,Gunung Puntang
"beneran cuma liat putih doang, itu pun nyasar",beneran cuma liat putih doang itu pun nyasar,negatif,Gunung Puntang
pas tidur suara hutan bikin jantungan,pas tidur suara hutan bikin jantungan,negatif,Gunung Puntang
"tenda bocor, padahal katanya premium glamping anjir",tenda bocor padahal katanya premium glamping anjir,negatif,Glamping Lakeside
"kasur kerasnya kayak lantai, anjay pinggang pegel",kasur kerasnya kayak lantai anjay pinggang pegel,negatif,Glamping Lakeside
suara berisik dari tenda sebelah bikin susah tidur,suara berisik dari tenda sebelah bikin susah tidur,negatif,Glamping Lakeside
"sinyal ilang total, gue ngerasa kayak di gua",sinyal ilang total gue ngerasa kayak di gua,negatif,Glamping Lakeside
camping area bau asap dari tenda sebelah,camping area bau asap dari tenda sebelah,negatif,Gunung Puntang
mending naik bukit belakang kampus deh daripada ini,mending naik bukit belakang kampus deh daripada ini,negatif,Gunung Puntang
"beli kopi di atas mahal bener, ga worth",beli kopi di atas mahal bener ga worth,negatif,Gunung Puntang
"banyak pungli di parkiran, ogah banget kesini lagi",banyak pungli di parkiran ogah banget kesini lagi,negatif,Kawah Putih
"anjay suara pengunjung lain saling teriak, chaos",anjay suara pengunjung lain saling teriak chaos,negatif,Kawah Putih
"anjir rame bgt, udah kayak konser semalam",anjir rame bgt udah kayak konser semalam,negatif,Ranca Upas
"bau-nya nyengat bgt sampe pusing, jir asli",baunya nyengat bgt sampe pusing jir asli,negatif,Ranca Upas
"tempatnya hype doang di sosmed, kenyataannya zonk anjay",tempatnya hype doang di sosmed kenyataannya zonk anjay,negatif,Ranca Upas
"rusa-nya ga mau dideketin, baper banget",rusanya ga mau dideketin baper banget,negatif,Ranca Upas
Kalo mau foto sama rusa bayar ga kak?,kalo mau foto sama rusa bayar ga kak,netral,Gunung Puntang
untuk akses jalannya aman mobil sedan kak?? plis jawab ya,untuk akses jalannya aman mobil sedan kak plis jawab ya,netral,Gunung Puntang
Ka dari ranca upas ke eco park  jalur nya sjalir engga,ka dari ranca upas ke eco park jalur nya sjalir engga,netral,Ranca Upas
Bisa sewa tenda di lokasi? Boleh minta nomor penyewaan nya,bisa sewa tenda di lokasi boleh minta nomor penyewaan nya,netral,Ranca Upas
Skrang jln msuk nya udh bgs .. dlu batu batu,skrang jln msuk nya udh bgs dlu batu batu,positif,Kawah Putih
Mnta nomer reservasi nya dong kak buat glamping?,mnta nomer reservasi nya dong kak buat glamping,netral,Ranca Upas
Makasih admin. Sehat selalu ya,makasih admin sehat selalu ya,positif,Ranca Upas
Terima kasih Friska atas informasinya Sukses terus utk kamu. 😊,terima kasih friska atas informasinya sukses terus utk kamu,netral,Kawah Putih
Weew asyik maen ke sini. Azak kluarga ingin pgi kmari,weew asyik maen ke sini azak kluarga ingin pgi kmari,positif,Kawah Putih
Ranca upas emeng asik yee mb ❤🎉,ranca upas emeng asik yee mb,positif,Ranca Upas
Ranca Upas emang keren saya bbrp waktu yang lalu juga camping disini salam kenal kawan,ranca upas emang keren saya bbrp waktu yang lalu juga camping disini salam kenal kawan,positif,Ranca Upas
Semoga semua orang bisa keliling indo😅🙏,semoga semua orang bisa keliling indo,netral,Gunung Puntang
"Thn 1998 pendidikan pecinta alam SMA disini, 3 hari penuh perjuangan, skrg udah jd bapak2 anak 2, kapan-kapan pengen camping lagi di Rancaupas, ternyata harga tiket masuk mahal jg skrg ya",thn pendidikan pecinta alam sma disini hari penuh perjuangan skrg udah jd bapak anak kapankapan pengen camping lagi di rancaupas ternyata harga tiket masuk mahal jg skrg ya,netral,Kawah Putih
Perasaan jd gersang rancaupas tempat kempingnya,perasaan jd gersang rancaupas tempat kempingnya,negatif,Ranca Upas
"Keren banget kak, sungguh menyenagkan 🙂👍",keren banget kak sungguh menyenagkan,positif,Gunung Puntang
Kalau dari pagi sampe sore ga nginep berapa bayarnya ya . Pasang tenda aja buat istirhat,kalau dari pagi sampe sore ga nginep berapa bayarnya ya pasang tenda aja buat istirhat,netral,Ranca Upas
"Wahh komplit nih tempat wisatanya 
Belum pernah kesampaian kesini semoga next bisa main ke Ciwidey",wahh komplit nih tempat wisatanya belum pernah kesampaian kesini semoga next bisa main ke ciwidey,positif,Situ Patenggang
Ranca upas 😍😍 pas banget kolam renang nya air hangat di tengah udara yg dingin..👍😍,ranca upas pas banget kolam renang nya air hangat di tengah udara yg dingin,positif,Ranca Upas
Enak banget liatnya kak 🙏,enak banget liatnya kak,positif,Glamping Lakeside
"wisata legend ini, udh beberspa kali kesini, udaranya sejuk banget yg serunya ngasih makan rusanya hihi, untuk wahana nya emg ga bnyk brubah tp kesini tuh gak boseyg pingin ngerasain nginep disini pst klo mlm dingin bgt",wisata legend ini udh beberspa kali kesini udaranya sejuk banget yg serunya ngasih makan rusanya hihi untuk wahana nya emg ga bnyk brubah tp kesini tuh gak boseyg pingin ngerasain nginep disini pst klo mlm dingin bgt,positif,Situ Patenggang
Wisata alam yang indah tentu bikin betah ber lama lama,wisata alam yang indah tentu bikin betah ber lama lama,positif,Ranca Upas
Sejuk bener ka ada penangkaran rusa juga tempatnya luas dan bersih,sejuk bener ka ada penangkaran rusa juga tempatnya luas dan bersih,netral,Ranca Upas
"Nyaman sejuk dan menarik tempat ini,puas sekali ya kak wisata di sini",nyaman sejuk dan menarik tempat inipuas sekali ya kak wisata di sini,positif,Gunung Puntang
"Belum kesampean pengen kesini, semoga next bisa kesini juga",belum kesampean pengen kesini semoga next bisa kesini juga,netral,Ranca Upas
Wah aku belum kesana nih kak.semoga tetap terjaga kawasannya yg asri dengan hewan2.campingnya jg oke.🎉🎉🎉,wah aku belum kesana nih kaksemoga tetap terjaga kawasannya yg asri dengan hewancampingnya jg oke,netral,Ranca Upas
Sejuk ya,sejuk ya,positif,Gunung Puntang
teduhh dan tempat parkirnya luas sekali.. benar benar nyaman untuk wisata keluarga kak fris,teduhh dan tempat parkirnya luas sekali benar benar nyaman untuk wisata keluarga kak fris,positif,Ranca Upas
Suasananya sejuk Tugu Monumennya estetik sekalali luar biasa wisata ranca upas ciwidey keren! Wahananya pun lengkap,suasananya sejuk tugu monumennya estetik sekalali luar biasa wisata ranca upas ciwidey keren wahananya pun lengkap,positif,Ranca Upas
"mantab ini tempat nya, jd pengen liburan kesana juga",mantab ini tempat nya jd pengen liburan kesana juga,netral,Gunung Puntang
"Over Price pisan....batina k gedean, tereh beunghar nu bogana... wkwkkwkkk",over price pisanbatina k gedean tereh beunghar nu bogana wkwkkwkkk,negatif,Gunung Puntang
"Cakep dan luas banget ya Kak...paling sukak glamping dan kolam renangnya ya Kak
Emang Ciwidey banyak tempat bagus ya",cakep dan luas banget ya kakpaling sukak glamping dan kolam renangnya ya kak emang ciwidey banyak tempat bagus ya,positif,Ranca Upas
aku lihat fasilitas lengkap. aku subscribe ,aku lihat fasilitas lengkap aku subscribe,positif,Situ Patenggang
"Ranca Upas Ciwidey tempatnya bagus sekali, mantap.",ranca upas ciwidey tempatnya bagus sekali mantap,positif,Ranca Upas
Ranca Upas Ciwidey tempat wisata yang indah dan sejuk penuh pohon rindang ....,ranca upas ciwidey tempat wisata yang indah dan sejuk penuh pohon rindang,positif,Ranca Upas
"Ranca Upas emang ga pernah ngebosenin untuk selalu dikunjungi saat berada di Ciwidey...naik ATV nya nih aku blm pernah nyoba,seru kayanya yah kak",ranca upas emang ga pernah ngebosenin untuk selalu dikunjungi saat berada di ciwideynaik atv nya nih aku blm pernah nyobaseru kayanya yah kak,positif,Ranca Upas
Ranca Upas wisata bandung memang tiada habisnya tempat healing yang paling pas sekaligus edukasi..l,ranca upas wisata bandung memang tiada habisnya tempat healing yang paling pas sekaligus edukasil,positif,Ranca Upas
halo. kalau tiket VIP itu termasuk sekali naik keranjang sultan di Rengganis ya?,halo kalau tiket vip itu termasuk sekali naik keranjang sultan di rengganis ya,netral,Kawah Putih
demi apaa sampe begini😭,demi apaa sampe begini,netral,Kawah Putih
Sakitt😭,sakitt,negatif,Glamping Lakeside
Salah sih datangnya pas musim kemarau😹🙈,salah sih datangnya pas musim kemarau,netral,Gunung Puntang
"Sama bgtttt, kemarin ke Situ patenggang juga lagi surut 😅",sama bgtttt kemarin ke situ patenggang juga lagi surut,netral,Situ Patenggang
"dari pihak wisatanya ga ada info gitu kak klo lgi kering? rugi bgt klo misalkan jauh"" kesana yaa😭",dari pihak wisatanya ga ada info gitu kak klo lgi kering rugi bgt klo misalkan jauh kesana yaa,netral,Gunung Puntang
"Kalo ke aku gak ada kak, gatau kalo ke yang lain🙈",kalo ke aku gak ada kak gatau kalo ke yang lain,netral,Kawah Putih
Demi apaasih ampe sekering itu,demi apaasih ampe sekering itu,netral,Gunung Puntang
Untung pernah liat kawah putih yang ekspetasinya 😁,untung pernah liat kawah putih yang ekspetasinya,netral,Kawah Putih
"aku malah ga masuk, tiketnya mahal aku gag ada duet dikiran cukup 5rb😆😆😆🤣🤣 jauh2 aih",aku malah ga masuk tiketnya mahal aku gag ada duet dikiran cukup rb jauh aih,negatif,Ranca Upas
Pas gue bagus alhamdulilah🙏🏻😁 ga gitu,pas gue bagus alhamdulilah ga gitu,positif,Kawah Putih
lagi kurang beruntung 😂,lagi kurang beruntung,netral,Ranca Upas
wey skrang mah enggak itu mah waktu kemarau kali ya 🤭,wey skrang mah enggak itu mah waktu kemarau kali ya,netral,Gunung Puntang
seingt sya bwa mbil prbdi mobil ny aja 150rb blm orang ny..sktr thun 2019,seingt sya bwa mbil prbdi mobil ny aja rb blm orang nysktr thun,netral,Gunung Puntang
mahal banget,mahal banget,negatif,Glamping Lakeside
manaan tiket nya mahal bet kesitu 😂,manaan tiket nya mahal bet kesitu,negatif,Glamping Lakeside
"ini waktu kapaaaan kak?
aku sabtu besok rencana mau kesanaa..",ini waktu kapaaaan kak aku sabtu besok rencana mau kesanaa,netral,Kawah Putih
Mana akhir bln klw jd meu kesana wkwk,mana akhir bln klw jd meu kesana wkwk,netral,Ranca Upas
"Cek cuaca dulu sih kak kalau ujan masih jarang lebih baik ke wisata lain, kemarin tiket masuk+ontang anting bayar 72 rb pas masukk keringg 🙈",cek cuaca dulu sih kak kalau ujan masih jarang lebih baik ke wisata lain kemarin tiket masukontang anting bayar rb pas masukk keringg,netral,Situ Patenggang
"Mending ke talaga bodas garut, Kawah Putih versi private nya gak kalah ajibb view nya",mending ke talaga bodas garut kawah putih versi private nya gak kalah ajibb view nya,netral,Kawah Putih
Dulu tiketnya 51rb 2org skrg katanya 150rb ngeriii…padahal tempatnya B aja..!!!😅😅,dulu tiketnya rb org skrg katanya rb ngeriiipadahal tempatnya b aja,negatif,Ranca Upas
Boleh sy tahu kwnapa boleh kering ye?,boleh sy tahu kwnapa boleh kering ye,netral,Gunung Puntang
dlu masih ada,dlu masih ada,netral,Situ Patenggang
"pas lebaran ksana masih ada air nya tp hujan muluuuu jd ga bisa lama"" dsana",pas lebaran ksana masih ada air nya tp hujan muluuuu jd ga bisa lama dsana,netral,Kawah Putih
Tapi gw kesitu Mirip Ekspektasinya Woyy jadi sebenarnya itu cantikk banget,tapi gw kesitu mirip ekspektasinya woyy jadi sebenarnya itu cantikk banget,netral,Gunung Puntang
"Kaa, kenapa dateng nya pas musim kemarau 😂",kaa kenapa dateng nya pas musim kemarau,netral,Glamping Lakeside
baru kali ini liat kawah surut😭😭,baru kali ini liat kawah surut,netral,Kawah Putih
sekarang masih surut ngga yah ??,sekarang masih surut ngga yah,netral,Ranca Upas
baru sebln yg lalu ksna bnr2 kering brutal😭,baru sebln yg lalu ksna bnr kering brutal,netral,Gunung Puntang
kalo mau ke kawah putih kira' bulan apa aja ka yang bagus pemandangan nya?,kalo mau ke kawah putih kira bulan apa aja ka yang bagus pemandangan nya,positif,Kawah Putih
pas musim ujan tapi dingin banget ga sanggup😭,pas musim ujan tapi dingin banget ga sanggup,netral,Gunung Puntang
iya bener. kulit sampe pada merah 😭😭,iya bener kulit sampe pada merah,netral,Ranca Upas
Bener😅 dlu pas musim hujan 11 derajat malah ga keliatan kabut semua🤣,bener dlu pas musim hujan derajat malah ga keliatan kabut semua,netral,Situ Patenggang
tapi bagusss wkwk,tapi bagusss wkwk,positif,Situ Patenggang
kan udah tau kemarau :v,kan udah tau kemarau v,netral,Kawah Putih
tp enak dingin nya berkurang jauh,tp enak dingin nya berkurang jauh,positif,Glamping Lakeside
"dia bilang pake ""juga"" yg artinya mksd yg dia sampaikan Kawah Putih dan Patenggang kering kedua nya hadeh",dia bilang pake juga yg artinya mksd yg dia sampaikan kawah putih dan patenggang kering kedua nya hadeh,netral,Kawah Putih
mana ada gua juga bulan kemarin ke situ Patenggang ngga surut tuh,mana ada gua juga bulan kemarin ke situ patenggang ngga surut tuh,positif,Situ Patenggang
kak aku bsok loh mw ke patenggang serius surut😭😭😭,kak aku bsok loh mw ke patenggang serius surut,negatif,Gunung Puntang
"maksudnya ke kawah putih🤭,saya blum pernah ke situ Patenggang..",maksudnya ke kawah putihsaya blum pernah ke situ patenggang,netral,Situ Patenggang
bulan Juli situ patenggang masih normal😁,bulan juli situ patenggang masih normal,netral,Situ Patenggang
bulan kemarin sebelum ujan udah kering bang patenggang,bulan kemarin sebelum ujan udah kering bang patenggang,negatif,Kawah Putih
